803.774544,2651
192.155516,1708
89.575105,1228
201.686163,1204
65.277536,1066
48.955613,1044
51.993777,1023
48.91806,1022
44.894269,1012
50.678252,1019
44.999478,1009
56.129078,1002
45.830879,1001
43.254793,1005
42.182567,1007
55.734382,1006
29.409571,1006
35.048331,1009
39.768534,1005
40.475751,1004
41.481784,1004
37.162055,1000
35.938963,1002
39.051255,1004
40.674474,1000
41.14391,1003
41.870177,1002
48.889187,1001
41.935355,1002
50.713558,1001
33.839625,1002
48.647852,1001
40.546102,1001
1804.94959,13121
350.456366,10306
264.86609,10145
246.774119,10083
229.251425,10061
210.667736,10039
195.533674,10017
222.435731,10017
212.286374,10016
194.065454,10015
200.505315,10008
190.483252,10013
174.780891,10007
169.644993,10006
178.254514,10012
181.520077,10004
186.475006,10003
166.763106,10002
182.435466,10002
179.982289,10005
168.704231,10000
156.713852,10002
164.259057,10001
164.579189,10003
154.135961,10002
160.802974,10003
157.830334,10002
166.719796,10003
156.767698,10001
156.938519,10004
159.368626,10001
144.921917,10004
155.264439,10001
